# JMH version: 1.21
# VM version: JDK 10.0.2, OpenJDK 64-Bit Server VM, 10.0.2+13-Ubuntu-1ubuntu0.18.04.4
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 5 iterations, 3 s each
# Measurement: 5 iterations, 5 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 10158,342 ±(99.9%) 1968,247 ns/op
# Warmup Iteration   2: 8864,339 ±(99.9%) 3546,226 ns/op
# Warmup Iteration   3: 7539,651 ±(99.9%) 1241,737 ns/op
# Warmup Iteration   4: 7633,251 ±(99.9%) 1608,846 ns/op
# Warmup Iteration   5: 7941,919 ±(99.9%) 2873,976 ns/op
# Run progress: 66,67% complete, ETA 00:03:22
# Fork: 1 of 5
# Warmup Iteration   1: 2769,062 ±(99.9%) 2036,637 ns/op
# Warmup Iteration   2: 2247,123 ±(99.9%) 331,734 ns/op
# Warmup Iteration   3: 2195,228 ±(99.9%) 168,183 ns/op
# Warmup Iteration   4: 2231,318 ±(99.9%) 224,926 ns/op
# Warmup Iteration   5: 2251,786 ±(99.9%) 403,764 ns/op
Iteration   1: 2201,232 ±(99.9%) 324,854 ns/op
Iteration   2: 2189,266 ±(99.9%) 156,764 ns/op
Iteration   3: 2181,334 ±(99.9%) 197,110 ns/op
Iteration   4: 2261,818 ±(99.9%) 374,756 ns/op
Iteration   5: 2217,260 ±(99.9%) 396,600 ns/op

# Run progress: 73,33% complete, ETA 00:02:42
# Fork: 2 of 5
# Warmup Iteration   1: 3688,746 ±(99.9%) 2627,357 ns/op
# Warmup Iteration   2: 2233,205 ±(99.9%) 359,421 ns/op
# Warmup Iteration   3: 2385,593 ±(99.9%) 692,302 ns/op
# Warmup Iteration   4: 2347,047 ±(99.9%) 189,515 ns/op
# Warmup Iteration   5: 2333,326 ±(99.9%) 298,154 ns/op
Iteration   1: 2364,851 ±(99.9%) 143,632 ns/op
Iteration   2: 2320,834 ±(99.9%) 372,857 ns/op
Iteration   3: 2337,938 ±(99.9%) 314,711 ns/op
Iteration   4: 2333,095 ±(99.9%) 411,830 ns/op
Iteration   5: 2314,104 ±(99.9%) 226,599 ns/op

# Run progress: 80,00% complete, ETA 00:02:01
# Fork: 3 of 5
# Warmup Iteration   1: 2618,935 ±(99.9%) 1126,305 ns/op
# Warmup Iteration   2: 2304,374 ±(99.9%) 253,237 ns/op
# Warmup Iteration   3: 2274,510 ±(99.9%) 243,448 ns/op
# Warmup Iteration   4: 2285,685 ±(99.9%) 59,988 ns/op
# Warmup Iteration   5: 2262,293 ±(99.9%) 491,530 ns/op
Iteration   1: 2274,693 ±(99.9%) 266,031 ns/op
Iteration   2: 2335,996 ±(99.9%) 649,316 ns/op
Iteration   3: 2305,090 ±(99.9%) 263,789 ns/op
Iteration   4: 2275,722 ±(99.9%) 439,444 ns/op
Iteration   5: 2241,006 ±(99.9%) 21,783 ns/op

# Run progress: 86,67% complete, ETA 00:01:21
# Fork: 4 of 5
# Warmup Iteration   1: 5308,266 ±(99.9%) 1088,064 ns/op
# Warmup Iteration   2: 2261,461 ±(99.9%) 286,532 ns/op
# Warmup Iteration   3: 2301,616 ±(99.9%) 446,992 ns/op
# Warmup Iteration   4: 2406,578 ±(99.9%) 1138,984 ns/op
# Warmup Iteration   5: 2283,610 ±(99.9%) 761,277 ns/op
Iteration   1: 2241,902 ±(99.9%) 294,107 ns/op
Iteration   2: 2316,837 ±(99.9%) 265,292 ns/op
Iteration   3: 2222,369 ±(99.9%) 369,797 ns/op
Iteration   4: 2244,916 ±(99.9%) 276,534 ns/op
Iteration   5: 2267,077 ±(99.9%) 405,743 ns/op

# Run progress: 93,33% complete, ETA 00:00:40
# Fork: 5 of 5
# Warmup Iteration   1: 2755,435 ±(99.9%) 177,175 ns/op
# Warmup Iteration   2: 2280,478 ±(99.9%) 252,760 ns/op
# Warmup Iteration   3: 2259,840 ±(99.9%) 707,789 ns/op
# Warmup Iteration   4: 2178,547 ±(99.9%) 684,944 ns/op
# Warmup Iteration   5: 2167,472 ±(99.9%) 291,960 ns/op
Iteration   1: 2161,917 ±(99.9%) 280,945 ns/op
Iteration   2: 2128,253 ±(99.9%) 174,837 ns/op
Iteration   3: 2129,890 ±(99.9%) 213,122 ns/op
Iteration   4: 2157,861 ±(99.9%) 332,696 ns/op
Iteration   5: 2174,447 ±(99.9%) 665,861 ns/op


Result "org.sample.BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortSizeEquals4":
  2247,988 ±(99.9%) 52,402 ns/op [Average]
  (min, avg, max) = (2128,253, 2247,988, 2364,851), stdev = 69,955
  CI (99.9%): [2195,586, 2300,390] (assumes normal distribution)


# Run complete. Total time: 00:10:07

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                                    Mode  Cnt     Score     Error  Units
BalancedMergesortBenchmark.testMethodBalancedParallelMergesortMerge4Cores    avgt   25  7516,263 ±  42,332  ns/op
BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortMerges2Halfs  avgt   25  7526,426 ± 147,505  ns/op
BalancedMergesortBenchmark.testMethod_BalancedParallelMergesortSizeEquals4   avgt   25  2247,988 ±  52,402  ns/op
